nodes,workload,access_pattern,file_sharing,process_grouping,rs,"('wo flush', 'best')","('wo flush', 'best_time')","('wo flush', 'worst')","('wo flush', 'worst_time')","('w flush', 'best')","('w flush', 'best_time')","('w flush', 'worst')","('w flush', 'worst_time')",improvement,improvement_f
16,raw,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.014759,MPIIO-pfs,0.025473000000000003,STDIO-pfs,0.014759,MPIIO-pfs,0.025473000000000003,1.7259299410529172,1.7259299410529172
16,raw,random,fpp,prod-cons inter node,65536,POSIX-pfs,0.042948,STDIO-pfs,0.057477,POSIX-pfs,0.042948,STDIO-pfs,0.057477,1.3382928192232468,1.3382928192232468
16,raw,random,fpp,prod-cons inter node,1048576,STDIO-pfs,1.4697209999999998,MPIIO-pfs,4.730651,STDIO-pfs,1.4697209999999998,MPIIO-pfs,4.730651,3.2187408358457152,3.2187408358457152
16,raw,random,fpp,prod-cons same node,4096,STDIO-shm,0.006499,MPIIO-pfs,0.021049,STDIO-shm,1.590185,MPIIO-pfs,0.021049,3.2388059701492535,205.7133654266958
16,raw,random,fpp,prod-cons same node,65536,POSIX-shm,0.015876,STDIO-bb,0.04848144,POSIX-shm,1.582569,STDIO-bb,1.74671444,3.0537566137566134,55.51955088199254
16,raw,random,fpp,prod-cons same node,1048576,POSIX-shm,0.20128600000000002,MPIIO-pfs,0.814369,POSIX-shm,3.123344,MPIIO-pfs,0.814369,4.045830311099629,8.649001859165905
16,raw,random,fpp,same,4096,STDIO-shm,0.007037,MPIIO-pfs,0.028387,STDIO-shm,2.109176,MPIIO-pfs,0.028387,4.0339633366491405,155.6587453874539
16,raw,random,fpp,same,65536,POSIX-shm,0.024202,STDIO-bb,0.06367535999999999,POSIX-shm,1.942747,STDIO-bb,2.18081236,2.6309957854722743,51.78846734742342
16,raw,random,fpp,same,1048576,MPIIO-shm,0.349205,MPIIO-pfs,4.832320999999999,MPIIO-shm,3.791482,MPIIO-pfs,4.832320999999999,13.838063601609369,3.8939600739141413
16,raw,seq,fpp,prod-cons inter node,4096,STDIO-pfs,0.015299,MPIIO-pfs,0.024384,STDIO-pfs,0.015299,MPIIO-pfs,0.024384,1.5938296620694163,1.5938296620694163
16,raw,seq,fpp,prod-cons inter node,65536,POSIX-pfs,0.042755,STDIO-pfs,0.050748,POSIX-pfs,0.042755,STDIO-pfs,0.050748,1.1869488948660976,1.1869488948660976
