nodes,iter,rs,init,fini,open,close,write,read,flush,prefetch,interface,workload,storage,access_pattern,file_sharing,process_grouping
1,1024,  4096,0.000000,0.000000,0.000068,0.000006,0.004609,0.000000,0.015864,0.000000,  POSIX,  wo,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000063,0.000027,0.003765,0.000000,0.006256,0.000000,  STDIO,  wo,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.013358,0.000903,0.006211,0.000000,0.005675,0.000000,  MPIIO,  wo,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000013,0.000004,0.000000,0.004159,0.000000,0.009471,  POSIX,  ro,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000019,0.000043,0.000000,0.003497,0.000000,0.009702,  STDIO,  ro,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000698,0.000421,0.000000,0.004748,0.000000,0.010546,  MPIIO,  ro,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000103,0.000011,0.004690,0.004095,0.006873,0.000000,  POSIX, raw,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000035,0.000006,0.004207,0.003627,0.003782,0.000000,  POSIX, raw,0,0,0,2
1,1024,  4096,0.000000,0.000000,0.000112,0.000043,0.003880,0.003283,0.006742,0.000000,  STDIO, raw,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000034,0.000025,0.003425,0.002900,0.003829,0.000000,  STDIO, raw,0,0,0,2
1,1024,  4096,0.000000,0.000000,0.003893,0.001910,0.006233,0.004376,0.006380,0.000000,  MPIIO, raw,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000012,0.000006,0.006090,0.000000,0.007365,0.000000,  POSIX,update,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000170,0.000024,0.008197,0.000000,0.005054,0.000000,  STDIO,update,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000744,0.000720,0.005916,0.000000,0.005142,0.000000,  MPIIO,update,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000126,0.000012,0.001524,0.004115,0.006495,0.000000,  POSIX,worm,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000031,0.000006,0.000471,0.003928,0.003450,0.000000,  POSIX,worm,0,0,0,2
1,1024,  4096,0.000000,0.000000,0.000113,0.000041,0.001533,0.003173,0.006321,0.000000,  STDIO,worm,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000037,0.000022,0.000500,0.002961,0.004109,0.000000,  STDIO,worm,0,0,0,2
1,1024,  4096,0.000000,0.000000,0.004123,0.001871,0.001548,0.004387,0.006382,0.000000,  MPIIO,worm,0,0,0,0
1,1024,  4096,0.000000,0.000000,0.000015,0.000004,0.000000,0.004299,0.000000,0.011004,  POSIX,  ro,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000019,0.000034,0.000000,0.003447,0.000000,0.009644,  STDIO,  ro,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000766,0.000459,0.000000,0.004719,0.000000,0.010731,  MPIIO,  ro,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000103,0.000010,0.004751,0.004118,0.006614,0.000000,  POSIX, raw,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000006,0.004215,0.003688,0.003556,0.000000,  POSIX, raw,0,1,0,2
1,1024,  4096,0.000000,0.000000,0.000109,0.000043,0.003839,0.003248,0.006451,0.000000,  STDIO, raw,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000033,0.000024,0.003480,0.002908,0.004362,0.000000,  STDIO, raw,0,1,0,2
1,1024,  4096,0.000000,0.000000,0.003991,0.001495,0.006288,0.004392,0.006352,0.000000,  MPIIO, raw,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000012,0.000006,0.006028,0.000000,0.008016,0.000000,  POSIX,update,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000222,0.000026,0.009298,0.000000,0.005022,0.000000,  STDIO,update,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000764,0.000711,0.005834,0.000000,0.004316,0.000000,  MPIIO,update,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000119,0.000012,0.001488,0.004043,0.004826,0.000000,  POSIX,worm,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000006,0.000482,0.003770,0.004078,0.000000,  POSIX,worm,0,1,0,2
1,1024,  4096,0.000000,0.000000,0.000121,0.000040,0.001526,0.003220,0.005175,0.000000,  STDIO,worm,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000038,0.000021,0.000488,0.002968,0.003842,0.000000,  STDIO,worm,0,1,0,2
1,1024,  4096,0.000000,0.000000,0.003999,0.001912,0.001538,0.004381,0.005727,0.000000,  MPIIO,worm,0,1,0,0
1,1024,  4096,0.000000,0.000000,0.000075,0.000006,0.004804,0.000000,0.006014,0.000000,  POSIX,  wo,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000093,0.000035,0.003753,0.000000,0.004409,0.000000,  STDIO,  wo,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.003097,0.000748,0.006279,0.000000,0.005166,0.000000,  MPIIO,  wo,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000013,0.000004,0.000000,0.004297,0.000000,0.010284,  POSIX,  ro,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000018,0.000041,0.000000,0.003343,0.000000,0.010474,  STDIO,  ro,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000810,0.000494,0.000000,0.004519,0.000000,0.008321,  MPIIO,  ro,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000110,0.000010,0.004598,0.003952,0.006444,0.000000,  POSIX, raw,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000006,0.004359,0.003762,0.003816,0.000000,  POSIX, raw,1,0,0,2
1,1024,  4096,0.000000,0.000000,0.000130,0.000043,0.003911,0.003299,0.006017,0.000000,  STDIO, raw,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000036,0.000024,0.003502,0.002862,0.003997,0.000000,  STDIO, raw,1,0,0,2
1,1024,  4096,0.000000,0.000000,0.003730,0.001648,0.006375,0.004455,0.006550,0.000000,  MPIIO, raw,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000012,0.000005,0.006119,0.000000,0.006333,0.000000,  POSIX,update,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000166,0.000023,0.008037,0.000000,0.005528,0.000000,  STDIO,update,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000782,0.000859,0.005842,0.000000,0.005031,0.000000,  MPIIO,update,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000128,0.000013,0.001496,0.004163,0.007780,0.000000,  POSIX,worm,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000006,0.000481,0.003802,0.004468,0.000000,  POSIX,worm,1,0,0,2
1,1024,  4096,0.000000,0.000000,0.000126,0.000041,0.001552,0.003303,0.006449,0.000000,  STDIO,worm,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000039,0.000021,0.000480,0.002991,0.004107,0.000000,  STDIO,worm,1,0,0,2
1,1024,  4096,0.000000,0.000000,0.004004,0.002055,0.001546,0.004415,0.006123,0.000000,  MPIIO,worm,1,0,0,0
1,1024,  4096,0.000000,0.000000,0.000015,0.000004,0.000000,0.004381,0.000000,0.010304,  POSIX,  ro,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000018,0.000039,0.000000,0.003530,0.000000,0.010166,  STDIO,  ro,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000760,0.000422,0.000000,0.004696,0.000000,0.010039,  MPIIO,  ro,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000108,0.000010,0.004753,0.004105,0.006417,0.000000,  POSIX, raw,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000034,0.000006,0.004317,0.003756,0.003872,0.000000,  POSIX, raw,1,1,0,2
1,1024,  4096,0.000000,0.000000,0.000128,0.000043,0.003814,0.003187,0.006256,0.000000,  STDIO, raw,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000035,0.000024,0.003575,0.002910,0.004050,0.000000,  STDIO, raw,1,1,0,2
1,1024,  4096,0.000000,0.000000,0.004084,0.001823,0.006372,0.004406,0.006329,0.000000,  MPIIO, raw,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000013,0.000006,0.006080,0.000000,0.007144,0.000000,  POSIX,update,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000205,0.000024,0.009216,0.000000,0.004768,0.000000,  STDIO,update,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000779,0.000712,0.005932,0.000000,0.005505,0.000000,  MPIIO,update,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000105,0.000012,0.001511,0.004103,0.006440,0.000000,  POSIX,worm,1,1,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000006,0.000489,0.003871,0.004495,0.000000,  POSIX,worm,1,1,0,2
1,1024,  4096,0.000000,0.000000,0.000125,0.000040,0.001503,0.003233,0.006353,0.000000,  STDIO,worm,1,1,0,0
